vendor_id,vendor_name,contact_email,service_type,contract_start,contract_end,annual_spend
1,Wheeler-Jones,michaelsmith@hill.org,Managed Services,2022-04-23,2026-12-26,221820.98
2,"Torres, Weber and Powell",ann31@hernandez.com,Managed Services,2022-06-05,2026-10-05,43017.44
3,"Garcia, Robles and Matthews",xrivera@jacobs.org,Hardware,2023-01-03,2024-01-24,322795.14
4,"Blankenship, Clark and Smith",veronicadavis@thomas.com,Managed Services,2020-10-29,2025-02-21,355031.98
5,Huang Inc,williamgonzales@ruiz.com,Managed Services,2022-01-18,2024-02-05,247745.87
6,"Long, Schroeder and Mccarthy",larry85@miller.com,Hardware,2023-05-14,2026-05-15,46446.03
7,"Bass, Dawson and Larsen",yhenry@jennings-grant.biz,Managed Services,2021-03-26,2025-03-01,407326.31
8,"Bailey, Johnson and Diaz",wtownsend@coleman.com,Hardware,2021-02-02,2025-07-26,290361.31
9,Brooks-Fitzpatrick,gonzalezmichael@smith.com,Software,2020-10-03,2024-03-27,283456.11
10,Bartlett LLC,lawsonarthur@may-sanders.com,Cloud,2020-03-25,2024-04-16,472116.3
11,Garrett-Maddox,roysara@chen.net,Software,2022-09-05,2024-05-29,468138.72
12,Johnson Inc,janicethompson@miller.com,Networking,2022-10-12,2026-01-13,263464.4
13,Walsh-Brown,hodgejoshua@rios.com,Cloud,2022-02-28,2024-11-12,359592.27
14,Hood-Charles,rachael29@blackburn.biz,Cloud,2023-01-12,2024-01-15,197386.63
15,Monroe-Caldwell,leekathleen@daniel.com,Hardware,2020-05-19,2025-01-06,453032.13
16,Williams-Franklin,vthompson@collins.com,Software,2020-03-08,2025-04-15,458840.77
17,Peterson PLC,knightsteven@hardin.com,Networking,2023-04-27,2026-01-28,471880.3
18,Stewart Ltd,wangkristina@little.com,Networking,2021-10-13,2026-10-01,338518.24
19,"Harding, Parker and Becker",julierojas@brown-mccarthy.com,Software,2020-08-13,2024-08-29,279411.82
20,Taylor-Stewart,marynelson@thompson.com,Hardware,2020-05-09,2024-06-16,450112.61
