project_id,project_name,description,start_date,end_date,status,budget,project_manager
1,Scale Visionary Portals System,Majority official give politics.,2023-11-15,2024-05-14,Active,438652.78,Mark Decker
2,Integrate Integrated Eyeballs System,Notice year its position radio eye garden.,2023-09-22,2025-09-15,Active,105876.86,Kristen Paul
3,Empower E-Business Mindshare System,Election life all boy probably.,2022-07-06,2024-11-28,On Hold,296021.09,Charles Willis
4,Disintermediate Enterprise Web Services System,Top follow bit grow too city little from.,2023-06-05,2025-05-22,Cancelled,363115.22,Chelsea Howard
5,Leverage Plug-And-Play Users System,Sell keep pattern order.,2022-05-19,2024-03-01,Completed,396134.92,Monica Wells
6,Incentivize Dot-Com Relationships System,Full question feel wife theory shake too medical.,2022-08-15,2024-04-27,On Hold,409837.12,Raymond Finley
7,Strategize Proactive Communities System,Coach feel others recently model week nothing.,2022-12-16,2025-09-06,Completed,281936.04,Matthew Kramer
8,Streamline E-Business Content System,Soon learn close a.,2023-12-06,2025-06-01,Cancelled,498257.0,Stephen Turner
9,Evolve Viral Action-Items System,Job right child new simply.,2022-04-18,2024-01-21,Cancelled,354907.43,Christopher Garcia
10,Engage Impactful E-Tailers System,Protect story relationship several benefit campaign several.,2023-10-11,2024-04-20,Cancelled,383776.91,Raymond Villanueva
11,Transition Cutting-Edge Metrics System,Move get prove wife agree those.,2023-07-15,2024-02-19,On Hold,186062.0,David Cox
12,Deliver Clicks-And-Mortar E-Business System,Seem trip population catch could deep itself fund.,2022-12-19,2024-06-16,Planning,41900.07,Jessica Mitchell
13,Synergize Compelling Paradigms System,When instead clear radio strong.,2022-02-20,2024-08-10,Completed,12884.03,Bradley Parks
14,Transform Wireless Synergies System,Five offer himself lawyer.,2022-05-06,2025-02-18,On Hold,390227.29,Dr. James Wise
15,Monetize Cutting-Edge Portals System,Page sort late health.,2023-12-07,2025-07-24,Planning,134054.57,George Nichols
16,Disintermediate One-To-One Roi System,Mother himself push character front various.,2023-02-21,2024-02-13,Cancelled,353719.93,Christina Hess
17,Drive Ubiquitous E-Commerce System,Let always test.,2023-12-10,2025-09-17,Completed,454447.99,Anthony Greene
18,Disintermediate Dot-Com E-Commerce System,Push short age environment fall indicate.,2022-09-20,2024-02-09,Cancelled,421982.31,Edward Johnson
19,Embrace Synergistic Paradigms System,School eat base behind risk plan issue.,2022-10-07,2025-03-11,Cancelled,169584.81,Wesley Barker
20,Incentivize Ubiquitous Paradigms System,Force although participant rich.,2022-10-15,2025-08-02,On Hold,24620.19,Ashley Hunt
21,Drive Strategic Supply-Chains System,Institution against wear either present.,2023-02-18,2024-01-12,Cancelled,343251.21,Sara Hamilton
22,Embrace Dynamic Networks System,Yet past much soldier reason.,2022-12-07,2025-05-28,Planning,212845.75,Kenneth Lewis
23,Re-Contextualize User-Centric Niches System,Everybody provide painting travel.,2022-05-15,2025-12-09,Completed,138515.1,Denise Russell
24,Utilize Next-Generation Web Services System,Ever leg so play.,2023-02-12,2025-03-18,Cancelled,283175.91,Danny Fletcher
25,Enhance Innovative E-Business System,Rock participant leave inside organization.,2023-12-02,2025-09-25,Cancelled,458130.75,Karen Grant
26,Facilitate Cross-Platform Vortals System,State charge take material mother color.,2022-12-23,2025-08-08,Planning,248684.67,Jamie Guerrero
27,Maximize Strategic Functionalities System,No generation debate world hard factor firm.,2022-05-26,2025-09-14,On Hold,48305.28,Alyssa Weber
28,Leverage Synergistic Networks System,Indeed share seem exist season writer.,2022-05-27,2025-11-12,Cancelled,332383.37,Joshua Gray
29,Iterate 24/7 Platforms System,Design yeah number condition city since.,2022-10-25,2025-09-27,On Hold,232607.43,Jennifer Ortiz
30,Engineer Killer E-Markets System,Everything side picture professional rather plan player maybe.,2023-10-29,2025-03-29,Completed,97779.38,Courtney Powell
