cr_id,title,change_type,priority,status,requested_by,approved_by,planned_date
1,Update Job Firmware,Normal,High,Draft,donna87,deckerthomas,2025-03-13
2,Update Provide Policy,Emergency,Low,Pending Approval,qmorris,yrodriguez,2024-10-06
3,Update There Configuration,Normal,Medium,Pending Approval,sarawilliams,danielle38,2025-07-11
4,Update Turn Firmware,Normal,Low,Draft,rmoore,vfuller,2024-07-14
5,Update Mouth Policy,Emergency,Critical,Rejected,whitelevi,,2024-05-18
6,Update Amount Firmware,Emergency,Critical,Rejected,paul84,robin23,2024-09-10
7,Update Mention Configuration,Standard,Medium,Pending Approval,courtneyhayes,bauercory,2024-01-29
8,Update Become Configuration,Emergency,Medium,Draft,krausedavid,cchurch,2025-01-10
9,Update Eat Firmware,Standard,Low,Pending Approval,toni86,caldwellpatricia,2024-04-11
10,Update Way Policy,Standard,Medium,Draft,gibsonbrandon,ccarter,2024-09-05
11,Update Success Access,Normal,Medium,Draft,carmengomez,heather29,2024-01-05
12,Update Friend Firmware,Standard,Medium,Implemented,snydergerald,,2024-09-07
13,Update Change Configuration,Normal,Critical,Implemented,vdougherty,,2024-04-25
14,Update Environmental Firmware,Normal,High,Rejected,jeffreygibson,,2024-09-07
15,Update Common Configuration,Normal,Critical,Implemented,wardkeith,danielthompson,2025-02-12
16,Update Respond Configuration,Standard,Low,Draft,gina49,mhorn,2025-10-16
17,Update When Configuration,Emergency,Critical,Approved,jodysmith,jamesroberts,2024-08-05
18,Update Five Firmware,Emergency,High,Rejected,bwiley,wayne87,2024-08-11
19,Update Movie Access,Standard,High,Draft,alexander70,alexbrooks,2025-05-19
20,Update Result Policy,Emergency,Low,Draft,rcannon,charles53,2025-10-03
21,Update Store Configuration,Normal,Critical,Draft,ncrawford,,2024-05-24
22,Update Science Firmware,Standard,High,Draft,raywalters,,2024-08-31
23,Update Determine Configuration,Normal,Medium,Approved,staceyharper,robert42,2025-08-04
24,Update Local Configuration,Standard,Medium,Pending Approval,ywells,,2025-11-13
25,Update Conference Configuration,Standard,High,Rejected,rhondabradley,barnesnorma,2024-08-07
26,Update Happy Firmware,Emergency,Low,Rejected,thomascassandra,valdezashley,2025-11-30
27,Update Within Policy,Standard,Critical,Implemented,edwardmitchell,,2024-05-31
28,Update Away Configuration,Standard,Low,Pending Approval,sandra63,,2025-03-23
29,Update And Access,Normal,High,Approved,brittanystewart,,2024-08-08
30,Update Red Firmware,Emergency,Critical,Draft,phall,,2024-03-26
31,Update Major Access,Emergency,Low,Draft,debbiejackson,elizabeth20,2025-04-24
32,Update Lawyer Access,Normal,Medium,Rejected,qjones,,2024-11-23
33,Update Event Configuration,Emergency,Medium,Rejected,lucasandrea,leejennifer,2024-09-19
34,Update Dog Firmware,Emergency,Critical,Pending Approval,williamsaudrey,janetmoore,2024-06-23
35,Update Tell Firmware,Standard,High,Draft,thompsonedwin,kimberlywatson,2024-12-12
36,Update Fine Firmware,Normal,Low,Approved,dawsonamanda,istephens,2024-01-13
37,Update Money Policy,Standard,Low,Rejected,aevans,gallagherdaniel,2024-03-17
38,Update General Configuration,Normal,High,Draft,angela06,vanessa20,2024-11-23
39,Update And Configuration,Normal,High,Rejected,gthompson,hramos,2025-07-14
40,Update Media Policy,Emergency,Critical,Implemented,mariemeyer,,2025-05-23
41,Update Stand Policy,Emergency,Critical,Rejected,slittle,xcurry,2024-01-08
42,Update Skill Firmware,Standard,Critical,Implemented,larsonjennifer,kennethwhite,2024-10-28
43,Update Popular Configuration,Emergency,Medium,Approved,jennifergraham,haroldlee,2024-01-08
44,Update Adult Configuration,Emergency,Medium,Implemented,hannah04,,2025-10-18
45,Update Common Access,Standard,Medium,Rejected,amanda14,,2024-01-27
46,Update Significant Configuration,Normal,Medium,Pending Approval,kpace,,2024-04-20
47,Update Spring Configuration,Standard,Low,Pending Approval,davismichelle,whernandez,2025-03-13
48,Update Investment Firmware,Emergency,Low,Draft,barbara81,williegonzalez,2025-09-02
49,Update Simply Configuration,Emergency,Low,Pending Approval,brownnancy,vortiz,2025-02-14
50,Update Rise Policy,Standard,Low,Implemented,jasminbrown,sharon28,2024-10-06
51,Update Great Access,Standard,Low,Implemented,amylopez,,2025-02-06
52,Update Big Policy,Normal,High,Implemented,morrisbrandon,josephmercado,2025-06-06
53,Update Way Access,Standard,Low,Pending Approval,andreasmith,angela26,2024-09-17
54,Update Thousand Configuration,Emergency,Low,Approved,donnacunningham,brownraymond,2025-07-10
55,Update Save Configuration,Standard,Low,Rejected,dmartin,,2024-05-07
56,Update Something Configuration,Emergency,High,Implemented,omahoney,meganhaney,2025-12-12
57,Update Design Access,Emergency,Critical,Implemented,nnunez,lisarussell,2025-08-21
58,Update Skin Policy,Standard,High,Rejected,wagnercynthia,dthompson,2024-01-30
59,Update Book Configuration,Emergency,Low,Rejected,ryantorres,,2024-04-06
60,Update Standard Access,Emergency,High,Approved,smithcharles,,2025-05-09
61,Update Clear Access,Standard,Medium,Pending Approval,jamesperez,coryfernandez,2025-07-22
62,Update Movie Configuration,Emergency,High,Pending Approval,michaellopez,ricemark,2025-05-31
63,Update Writer Firmware,Emergency,Critical,Pending Approval,sullivanpaula,pcruz,2024-07-13
64,Update Animal Firmware,Standard,High,Rejected,ucampos,margaret20,2024-07-05
65,Update Prove Policy,Normal,Critical,Pending Approval,chaselisa,kaylahowell,2025-05-29
66,Update Manage Access,Standard,Critical,Pending Approval,hhuber,shull,2024-07-13
67,Update Bring Firmware,Normal,High,Implemented,tara69,amberevans,2025-10-04
68,Update Recent Configuration,Standard,High,Draft,rthompson,ewinglynn,2025-09-19
69,Update City Firmware,Normal,Critical,Implemented,sbennett,,2025-09-12
70,Update Term Policy,Emergency,High,Rejected,wferguson,cherylgomez,2024-05-18
71,Update Themselves Access,Standard,Medium,Approved,taylorshane,christina99,2025-02-06
72,Update Vote Policy,Standard,Medium,Rejected,matthewwalker,,2025-07-20
73,Update Explain Access,Normal,Critical,Implemented,afuller,,2024-06-08
74,Update South Access,Standard,High,Pending Approval,irojas,wallacecourtney,2024-11-15
75,Update Character Configuration,Emergency,Medium,Draft,thenderson,duranaudrey,2025-02-24
76,Update Individual Access,Standard,Medium,Approved,asmith,rparker,2024-04-29
77,Update Modern Policy,Normal,Medium,Draft,angie99,richard18,2025-12-07
78,Update Daughter Firmware,Emergency,High,Pending Approval,daniel73,mary85,2025-03-01
79,Update Design Firmware,Emergency,Medium,Rejected,iquinn,osbornkelly,2024-07-05
80,Update Pattern Firmware,Standard,High,Implemented,bakerleslie,,2024-10-09
81,Update Structure Policy,Emergency,High,Draft,elizabethrobertson,uliu,2025-10-30
82,Update Congress Policy,Standard,High,Approved,houstonvalerie,raymondwoodward,2024-03-27
83,Update Among Configuration,Standard,Critical,Approved,jross,smithamy,2025-08-12
84,Update Experience Policy,Emergency,High,Implemented,michael13,hawkinsamber,2024-06-19
85,Update One Configuration,Normal,High,Pending Approval,nancyballard,timothy88,2024-11-03
86,Update Economic Access,Standard,Low,Approved,vgreen,,2025-10-01
87,Update Born Configuration,Standard,Critical,Approved,robert30,sarawest,2025-10-19
88,Update Hospital Firmware,Emergency,Critical,Approved,williamsjason,,2025-09-02
89,Update Respond Access,Standard,High,Implemented,jennifer61,deanna05,2024-11-26
90,Update Impact Firmware,Normal,Critical,Approved,colton49,margaretirwin,2025-08-06
91,Update Red Configuration,Emergency,Medium,Draft,ryan90,,2024-11-19
92,Update Morning Configuration,Emergency,High,Draft,bsloan,schmidtfernando,2024-08-13
93,Update Unit Policy,Emergency,Medium,Pending Approval,johnsoncrystal,,2025-04-21
94,Update Democrat Firmware,Emergency,High,Pending Approval,swatson,williamsjoseph,2024-01-27
95,Update Find Configuration,Standard,High,Implemented,stephanie42,longjoshua,2024-09-01
96,Update Gun Access,Normal,Critical,Pending Approval,zhansen,fred06,2024-02-18
97,Update Change Configuration,Emergency,Critical,Draft,darrylkent,ibrennan,2025-08-27
98,Update Forward Access,Standard,Low,Implemented,ltate,davidsmith,2025-09-01
99,Update Eat Access,Standard,Critical,Approved,sarahholland,scott04,2024-05-30
100,Update Moment Configuration,Normal,Critical,Rejected,timothy64,gail55,2025-10-05
