campaign_id,campaign_name,campaign_type,channel_id,start_date,end_date,budget,status,owner
1,Integrated radical intranet Campaign,Product Launch,8,2022-05-04,2024-12-24,183018.45,Active,Edward Jones
2,Versatile methodical throughput Campaign,Lead Generation,8,2022-04-12,2024-12-13,193403.88,Completed,Ricardo Brown
3,Reverse-engineered analyzing toolset Campaign,Brand Awareness,1,2023-05-11,2024-11-09,113174.46,Active,Mitchell Duncan
4,Grass-roots user-facing alliance Campaign,Lead Generation,7,2023-07-05,2024-09-13,166172.29,Draft,Jacqueline Kelly
5,Profit-focused coherent encoding Campaign,Brand Awareness,3,2024-01-05,2024-08-25,182515.88,Completed,Miranda Cooper
6,Progressive full-range projection Campaign,Retention,3,2022-02-19,2025-03-05,133572.58,Completed,Holly Peterson
7,Enterprise-wide dedicated service-desk Campaign,Retention,8,2023-08-10,2025-01-03,143890.01,Active,Jason Riggs
8,Self-enabling systemic secured line Campaign,Retention,2,2024-01-18,2025-03-16,89487.85,Paused,Shannon Johnson
9,Persistent 4thgeneration orchestration Campaign,Retention,3,2023-01-12,2024-07-09,162362.94,Active,Andrea Fitzgerald
10,Integrated optimal system engine Campaign,Retention,4,2023-03-10,2024-12-23,187943.41,Paused,Samantha Miller
11,Right-sized system-worthy task-force Campaign,Product Launch,3,2024-05-22,2025-06-03,46056.85,Paused,Latoya Fitzgerald
12,Intuitive attitude-oriented array Campaign,Brand Awareness,2,2022-01-09,2025-05-21,113759.96,Completed,Melanie Flores
13,Extended value-added knowledge user Campaign,Lead Generation,2,2022-08-22,2024-12-16,169921.48,Draft,Destiny Simmons
14,Integrated upward-trending function Campaign,Brand Awareness,4,2023-12-11,2025-01-26,87931.94,Active,Jeffery Davis
15,Stand-alone well-modulated project Campaign,Retention,6,2023-06-04,2025-03-17,21725.6,Completed,John Smith
16,Up-sized maximized superstructure Campaign,Lead Generation,8,2024-05-04,2025-01-10,195643.09,Active,Jennifer Curtis
17,Networked neutral circuit Campaign,Retention,2,2022-05-16,2024-12-29,71554.97,Draft,Alexis Watson
18,Devolved holistic initiative Campaign,Retention,6,2023-07-08,2024-11-13,116869.01,Paused,Kyle Brooks
19,Progressive secondary process improvement Campaign,Retention,3,2024-05-06,2025-01-31,56877.65,Draft,Nathan Miles
20,Team-oriented discrete ability Campaign,Lead Generation,5,2023-11-09,2024-11-17,64841.44,Active,Laura Lopez
21,Optimized executive adapter Campaign,Lead Generation,6,2023-12-06,2024-12-08,120748.76,Completed,Ryan Becker
22,Secured national interface Campaign,Brand Awareness,8,2023-04-09,2024-08-25,100259.89,Completed,Christopher King
23,Multi-channeled asymmetric data-warehouse Campaign,Retention,4,2022-11-17,2025-03-08,118457.27,Completed,Kim Bennett
24,Integrated mobile function Campaign,Brand Awareness,7,2024-02-18,2025-03-24,44367.85,Draft,David Arnold
25,Cross-group eco-centric knowledgebase Campaign,Retention,4,2023-07-21,2025-06-16,81599.7,Completed,Kathryn Jackson
26,Persevering exuding framework Campaign,Lead Generation,8,2022-01-04,2024-08-24,28892.42,Completed,April Murphy
27,Fundamental executive benchmark Campaign,Lead Generation,8,2023-10-26,2024-09-08,31016.45,Paused,Steven Russo
28,Down-sized uniform definition Campaign,Retention,7,2022-04-03,2025-05-09,156997.49,Active,Karen Perez
29,Multi-channeled attitude-oriented monitoring Campaign,Retention,8,2023-10-22,2025-06-14,79406.77,Draft,Melanie Fischer
30,Open-source incremental function Campaign,Brand Awareness,1,2024-01-01,2025-05-16,108981.07,Active,Sharon Mendoza
31,Cross-platform demand-driven array Campaign,Product Launch,6,2022-07-22,2024-08-10,184044.07,Completed,Tamara Jones
32,Synergistic content-based access Campaign,Retention,2,2023-07-13,2024-09-10,155549.17,Active,Jose Gonzalez
33,Operative zero administration functionalities Campaign,Lead Generation,8,2022-04-30,2025-06-20,6819.67,Paused,Angela Clark
34,Secured multi-tasking time-frame Campaign,Retention,7,2024-05-11,2025-02-09,74681.27,Active,Marcia Benson
35,Pre-emptive neutral portal Campaign,Product Launch,1,2022-10-18,2024-10-03,129085.63,Completed,Shawn Roman
36,Centralized object-oriented model Campaign,Brand Awareness,1,2022-08-09,2025-02-12,57070.55,Completed,Stephen Leon
37,Compatible composite neural-net Campaign,Lead Generation,7,2022-11-03,2025-01-02,85926.98,Completed,Erin Aguirre
38,Customizable homogeneous knowledgebase Campaign,Lead Generation,2,2023-12-21,2024-09-21,63382.41,Paused,Marc Lewis
39,Expanded bandwidth-monitored parallelism Campaign,Retention,7,2023-10-18,2024-12-02,19580.63,Active,Joseph Blevins
40,Cross-group neutral structure Campaign,Lead Generation,2,2023-11-26,2024-11-04,191775.05,Completed,Morgan Haney
41,Public-key asymmetric firmware Campaign,Brand Awareness,4,2023-08-20,2025-01-10,107466.92,Active,Chelsea Martinez
42,Robust context-sensitive function Campaign,Brand Awareness,3,2024-03-17,2025-03-14,36166.51,Active,Ashley Franklin
43,Multi-layered object-oriented Local Area Network Campaign,Retention,3,2022-07-02,2024-07-09,101589.54,Completed,Dana Hines
44,Business-focused optimizing support Campaign,Brand Awareness,4,2023-01-10,2024-07-15,163633.13,Completed,Carrie Robertson
45,Distributed methodical core Campaign,Lead Generation,7,2023-02-27,2025-03-23,151515.03,Paused,William Phillips
46,Open-architected background customer loyalty Campaign,Product Launch,3,2023-05-22,2025-04-13,45086.87,Active,Gary Davidson
47,Multi-lateral dedicated application Campaign,Product Launch,5,2023-05-18,2024-10-05,37995.98,Active,Erica Williams
48,Centralized fault-tolerant frame Campaign,Retention,2,2023-08-10,2024-12-17,190685.01,Active,Jeremy Miller
49,Universal bandwidth-monitored application Campaign,Retention,5,2023-05-03,2024-09-19,198295.99,Completed,Stacy Russell
